,0,1,2,3
0,#giveaway,491045.625,30355,23386
1,#ethereum,491045.625,59010,54628
2,#bnb,491045.625,89950,88764
3,#trx,491045.625,17400,4830
4,#doge,491045.625,69522,23805
5,#defi,491045.625,29655,27268
6,#nft,491045.625,18590,13717
7,#nfts,491045.625,12011,14362
8,#bsc,491045.625,40959,89556
9,#binance,491045.625,147740,24898
10,#binancesmartchain,491045.625,41996,83044
11,#dogeday420,491045.625,51634,8447
12,#dogearmy,491045.625,42131,11988
13,#crypto,491045.625,110214,102396
14,#pancakeswap,491045.625,24234,9108
15,#safemoon,491045.625,18749,29944
16,#tron,491045.625,11425,6651
17,#forex,19234.382934570312,317,313
18,#dogecoin,68857.435546875,61630,44664
19,#1,68857.435546875,13967,1400
20,#2,68857.435546875,146,476
21,#3,68857.435546875,150,17
22,#btc,68857.435546875,66423,45456
23,#ltc,68857.435546875,2453,5264
24,#litecoin,68857.435546875,2239,2445
25,#coinbase,68857.435546875,7821,1036
26,#altcoins,68857.435546875,8349,7669
27,#dogecointothemoon,6533.155242919922,1599,1805
28,#sol,6533.155242919922,968,359
29,#wallstreet,767.5643844604492,508,288
30,#bitcoinnews,3398.5296020507812,387,312
31,#cryptotwitter,3398.5296020507812,775,418
32,#cryptocurrencynews,3398.5296020507812,891,355
33,#cryptonews,3398.5296020507812,3039,5135
34,#finance,1257.4123229980469,415,336
35,#dogecointo1dollar,1257.4123229980469,171,29
36,#airdrops,35870.292724609375,25777,45071
37,#uniswap,2577.6910400390625,812,1192
38,#hotbit,2577.6910400390625,403,265
39,#staking,2577.6910400390625,798,817
40,#coinmarketcap,2577.6910400390625,1497,380
41,#dogecoinarmy,1637.2745895385742,211,199
42,#lightningnetwork,1966.3421020507812,293,158
43,#dyor,1966.3421020507812,1312,2294
44,#doge420,24946.981689453125,101,212
45,#dogecoins,24946.981689453125,3088,991
46,#dogetothemoon,24946.981689453125,188,125
47,#xrp,24946.981689453125,18230,9786
48,#tether,24946.981689453125,1788,557
49,#usdt,24946.981689453125,3398,2702
50,#cardano,24946.981689453125,5451,5539
51,#kucoin,24946.981689453125,326,2248
52,#polkadot,24946.981689453125,1583,3706
53,#chainlink,24946.981689453125,2722,5030
54,#money,24946.981689453125,680,576
55,#btcusdt,24946.981689453125,1425,193
56,#qtum,24946.981689453125,1228,367
57,#huobi,24946.981689453125,3860,3903
58,#blockchain,23040.05517578125,13879,10313
59,#ico,23040.05517578125,620,636
60,#decentralized,23040.05517578125,471,375
61,#eth,23040.05517578125,18861,34629
62,#vechain,5048.6668701171875,1591,2167
63,#vet,5048.6668701171875,3253,443
64,#news,5048.6668701171875,187,150
65,#elongate,6234.8787841796875,980,972
66,#investing,6234.8787841796875,385,416
67,#altseason,6234.8787841796875,4101,3589
68,#band,4672.237976074219,692,176
69,#stocks,4672.237976074219,1223,466
70,#ravencoin,1045.949577331543,694,236
71,#solana,13263.747924804688,1247,589
72,#usd,13263.747924804688,940,559
73,#fintech,13263.747924804688,739,258
74,#shiba,13263.747924804688,677,339
75,#gold,13263.747924804688,13101,16340
76,#silver,13263.747924804688,1205,925
77,#sec,13263.747924804688,270,1192
78,#nftcommunity,4181.3983154296875,2324,2047
79,#nftartist,4181.3983154296875,2513,1385
80,#nftcollectors,4181.3983154296875,2225,1329
81,#cryptoart,4181.3983154296875,3361,2345
82,#nftart,4181.3983154296875,3057,1975
83,#nftcollector,4181.3983154296875,2885,1717
84,#cryptotrading,732.7914581298828,682,215
85,#rarible,3476.2813415527344,734,300
86,#china,898.7130966186523,856,416
87,#india,898.7130966186523,301,345
88,#cripto,898.7130966186523,881,153
89,#mining,706.4602432250977,145,5398
90,#inflation,706.4602432250977,280,852
91,#cbdc,515.9750823974609,197,31
92,#investment,1933.5160522460938,822,284
93,#superleague,1723.0907897949219,483,1115
94,#avax,4726.124725341797,847,1840
95,#kriptopara,4726.124725341797,4364,1575
96,#paribu,4726.124725341797,4497,1971
97,#hot,4869.208343505859,2623,939
98,#eos,4869.208343505859,1130,629
99,#ada,4869.208343505859,4545,1650
100,#chz,4869.208343505859,3612,1952
101,#stellar,4869.208343505859,477,337
102,#bist,4869.208343505859,1834,381
103,#altÄ±n,4869.208343505859,1040,674
104,#bist100,9397.051971435547,4195,1304
105,#borsa,9397.051971435547,4420,1115
106,#usdtry,9397.051971435547,1131,1739
107,#altseason2021,2205.6489868164062,1014,1020
108,#xrpcommunity,2205.6489868164062,961,5962
109,#dash,2205.6489868164062,462,766
110,#dxy,2205.6489868164062,1311,319
111,#algo,2205.6489868164062,748,257
112,#holochain,3552.315704345703,1619,382
113,#win,3552.315704345703,1216,1637
114,#wink,3552.315704345703,639,486
115,#ama,728.2282562255859,646,831
116,#ether,338.0890808105469,233,2835
117,#xvg,1743.2045593261719,1241,298
118,#google,430.58415031433105,262,87
119,#russia,1531.029670715332,799,122
120,#iot,1816.5146102905273,259,83
121,#cro,1580.6632537841797,959,319
122,#dot,2518.8064575195312,1734,525
123,#technology,2518.8064575195312,107,453
124,#nasdaq,4232.504699707031,353,232
125,#xauusd,1832.4654502868652,1251,1002
126,#xu100,1710.465534210205,904,428
127,#usdc,193.59901666641235,98,586
128,#youtube,362.2079162597656,362,137
129,#etf,175.01980924606323,75,77
130,#free,1129.4253692626953,639,358
131,#eurusd,652.5643577575684,430,230
132,#ai,331.64409255981445,112,235
133,#europeansuperleague,5174.740753173828,549,106
